"Area Code","Area Name","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Stalking and harassment","Death or serious injury - unlawful driving","Sexual offences","Robbery","Theft offences","Burglary","Residential burglary","Non-residential  burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","Other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes","Region"
"E23000013","Cleveland","65397","20109","15","5858","7474","6754","8","1755","581","26699","5647","4091","1556","4333","510","993","8867","6349","9370","1298","377","3836","1372","North East"
"E23000008","Durham","62393","23908","5","5738","8335","9817","13","1885","242","18338","4105","2919","1186","3255","285","474","4862","5357","9585","1269","290","5141","1735","North East"
"E23000007","Northumbria","160292","47904","11","13352","19982","14522","37","4952","855","51974","9207","6082","3125","8406","1421","2027","14081","16832","22742","3344","1392","23401","3728","North East"
"E23000006","Cheshire","94201","32600","19","10590","12892","9095","4","3195","416","25298","4638","3380","1258","3652","635","1577","7084","7712","10162","2180","532","17976","1842","North West"
"E23000002","Cumbria","35372","13244","4","4860","5472","2903","5","1593","123","9879","2103","1214","889","1174","197","296","2899","3210","5458","1022","252","3084","717","North West"
"E23000005","Greater Manchester","334976","97236","78","28581","45640","22905","32","9656","7642","122685","30156","21879","8277","31669","7351","4061","17352","32096","35821","4981","3542","45151","8262","North West"
"E23000003","Lancashire","162819","62273","21","19920","23040","19287","5","5131","1097","52858","13228","8563","4665","10078","2000","1698","9476","16378","20238","2342","701","14938","3241","North West"
"E23000004","Merseyside","134164","43752","21","14398","17163","12151","19","3188","1462","44779","11083","8490","2593","10382","2146","1890","8645","10633","16328","8181","1033","12689","2752","North West"
"E23000012","Humberside","98311","32747","17","10979","12939","8791","21","3175","973","35900","8341","5984","2357","5795","702","2246","10356","8460","12809","1374","509","8395","2429","Yorkshire and the Humber"
"E23000009","North Yorkshire","43762","13729","5","5469","5478","2741","36","1854","211","17081","3807","2301","1506","2460","483","1177","4448","4706","5993","1563","309","2210","812","Yorkshire and the Humber"
"E23000011","South Yorkshire","142739","43718","19","14291","13108","16273","27","3911","1669","55060","14044","9867","4177","12607","2086","1163","10834","14326","18045","2490","1377","12632","3837","Yorkshire and the Humber"
"E23000010","West Yorkshire","291573","102172","39","29214","42901","29967","51","8564","3830","101622","26237","19145","7092","24422","4145","2465","18714","25639","31094","6303","2314","28213","7461","Yorkshire and the Humber"
"E23000018","Derbyshire","59162","16562","4","9390","4650","2516","2","2039","640","25753","6229","4462","1767","5465","706","1030","5851","6472","7872","2237","593","2225","1241","East Midlands"
"E23000021","Leicestershire","87167","25327","10","6840","12234","6231","12","2354","1019","36999","8415","5934","2481","9347","1232","2124","6647","9234","10300","1867","740","6638","1923","East Midlands"
"E23000020","Lincolnshire","48582","14822","5","5716","6220","2873","8","1907","334","19270","4336","3027","1309","3030","284","1038","5524","5058","6084","1778","525","2767","1095","East Midlands"
"E23000022","Northamptonshire","58632","18973","12","7206","8596","3157","2","2105","817","24560","5863","3699","2164","7466","595","902","4104","5630","6619","1577","614","2249","1118","East Midlands"
"E23000019","Nottinghamshire","104112","30954","14","13601","9475","7857","7","3488","1225","42926","7974","5409","2565","9153","1401","1904","10983","11511","12129","3259","954","6807","2370","East Midlands"
"E23000015","Staffordshire","84765","30743","9","10886","10766","9069","13","3247","972","30069","6032","3824","2208","5668","484","1233","7414","9238","10971","1816","801","4258","1888","West Midlands Region"
"E23000017","Warwickshire","41304","12833","6","4440","5308","3075","4","1281","451","18051","4115","3006","1109","4907","462","729","3422","4416","4520","839","412","2194","723","West Midlands Region"
"E23000016","West Mercia","84554","29801","15","9778","12263","7717","28","3456","584","32079","7658","5413","2245","5623","911","1122","7713","9052","10037","2024","809","4249","1515","West Midlands Region"
"E23000014","West Midlands","252689","70507","50","30561","24861","15002","33","7016","8107","116925","29850","22141","7709","37250","3230","3058","18774","24763","25695","4558","2281","13918","3682","West Midlands Region"
"E23000026","Bedfordshire","55173","14666","7","4833","6242","3569","15","1611","797","25664","6440","4480","1960","7722","774","1296","3966","5466","6101","1343","415","3601","975","East"
"E23000023","Cambridgeshire","63678","17019","11","5081","8950","2953","24","1929","761","29112","5429","3587","1842","6084","1015","4228","5041","7315","7491","1325","534","4177","1330","East"
"E23000028","Essex","151103","52611","13","14316","20074","18166","42","4003","1667","55563","12276","8808","3468","15204","1529","2254","10721","13579","15910","3743","2099","12222","3285","East"
"E23000027","Hertfordshire","85371","25066","13","8726","11253","5047","27","2289","855","35839","6574","4783","1791","9059","1380","1444","8607","8775","9216","3148","715","6466","1777","East"
"E23000024","Norfolk","58972","21006","6","6876","9990","4120","14","2520","474","17838","3528","2281","1247","2778","500","1242","4151","5639","7083","2300","580","5496","1675","East"
"E23000025","Suffolk","54124","18726","7","5637","8286","4790","6","2260","462","18277","4111","2700","1411","3620","553","1116","4148","4729","6520","1290","450","5075","1064","East"
"E23000034","City of London","6921","1150","1","461","524","164","0","106","104","4291","325","15","310","246","683","455","902","1680","232","425","72","412","129","London"
"E23000001","Metropolitan Police","835078","210644","140","76904","84909","48642","49","20475","33103","413287","80460","59710","20750","112655","42850","19487","43743","114092","56537","35474","7401","48281","9876","London"
"E23000030","Hampshire","159487","55319","14","21387","24199","9695","24","5623","1260","55889","11514","7612","3902","12760","1272","3815","12969","13559","18549","3682","1621","14894","2650","South East"
"E23000032","Kent","197085","77559","17","20522","35995","20958","67","7182","1851","57336","11842","8540","3302","12993","1063","1744","12700","16994","22359","3043","1335","21115","5305","South East"
"E23000031","Surrey","74745","22558","1","7198","10376","4964","19","2349","440","27413","5911","4431","1480","6273","565","1237","4347","9080","9457","2853","585","7526","1564","South East"
"E23000033","Sussex","114049","37795","30","13676","16950","7125","14","4154","1053","39713","7177","4469","2708","8251","1490","2204","7983","12608","13767","3483","1598","10203","2283","South East"
"E23000029","Thames Valley","162070","46311","17","15711","22168","8396","19","5453","1602","72960","12283","8370","3913","17093","2965","5581","14256","20782","19104","5065","1419","6848","3308","South East"
"E23000036","Avon and Somerset","135955","42450","15","12804","17830","11798","3","4205","1447","49479","10066","6791","3275","10606","1132","3420","10663","13592","15487","2876","782","17450","1779","South West"
"E23000035","Devon and Cornwall","106616","40929","19","15662","15097","10110","41","4547","601","31752","5761","2560","3201","5769","844","911","7725","10742","14527","3982","932","7151","2195","South West"
"E23000039","Dorset","53099","17950","3","6186","7667","4087","7","1897","376","20398","4270","2416","1854","3812","493","1360","4046","6417","6861","1609","323","3003","682","South West"
"E23000037","Gloucestershire","35292","9443","8","5173","2251","2004","7","1085","368","16880","4183","3010","1173","4084","395","980","3373","3865","4456","959","246","1413","442","South West"
"E23000038","Wiltshire","42483","13925","2","5701","5840","2380","2","1646","338","16069","3222","2071","1151","2895","347","826","4300","4479","5709","1044","305","2710","737","South West"
"W15000004","Dyfed-Powys","26694","9780","5","3039","4016","2720","0","925","62","7682","1515","999","516","902","79","159","1938","3089","4042","1816","179","1651","557","Wales"
"W15000002","Gwent","56497","18971","4","5753","7140","6071","3","1457","281","16080","3634","2520","1114","3338","364","369","3633","4742","9121","1390","214","7621","1362","Wales"
"W15000001","North Wales","58184","23239","6","7076","10061","6094","2","3091","214","16091","3794","2579","1215","2214","205","543","4204","5131","7586","1352","331","5018","1262","Wales"
"W15000003","South Wales","108729","35454","12","12143","11540","11741","18","3266","534","38487","6921","4711","2210","7774","1089","2025","10495","10183","12787","4197","667","11238","2099","Wales"
NA,"British Transport Police","64693","12020","2","3234","8559","225","0","1915","666","27348","542","3","539","1223","6565","6348","2934","9736","6993","2040","1134","11744","833","British Transport Police"
