period_start,days_gt_15C,days_gt_20C,days_gt_25C,days_gt_30C
01/01/2001,0,0,0,0
01/02/2001,0,0,0,0
01/03/2001,2,0,0,0
01/04/2001,4,0,0,0
01/05/2001,25,12,2,0
01/06/2001,29,16,3,1
01/07/2001,31,27,14,2
01/08/2001,31,27,7,1
01/09/2001,27,4,0,0
01/10/2001,29,2,0,0
01/11/2001,0,0,0,0
01/12/2001,0,0,0,0
01/01/2002,0,0,0,0
01/02/2002,0,0,0,0
01/03/2002,5,0,0,0
01/04/2002,16,4,0,0
01/05/2002,27,2,0,0
01/06/2002,30,15,2,0
01/07/2002,31,20,7,1
01/08/2002,31,28,8,0
01/09/2002,30,12,0,0
01/10/2002,14,2,0,0
01/11/2002,1,0,0,0
01/12/2002,0,0,0,0
01/01/2003,1,0,0,0
01/02/2003,0,0,0,0
01/03/2003,9,0,0,0
01/04/2003,18,4,1,0
01/05/2003,27,6,2,0
01/06/2003,30,29,4,0
01/07/2003,31,28,8,1
01/08/2003,31,29,17,8
01/09/2003,30,21,7,0
01/10/2003,14,1,0,0
01/11/2003,2,0,0,0
01/12/2003,0,0,0,0
01/01/2004,0,0,0,0
01/02/2004,1,0,0,0
01/03/2004,3,0,0,0
01/04/2004,15,3,0,0
01/05/2004,23,10,0,0
01/06/2004,30,20,5,0
01/07/2004,31,22,6,0
01/08/2004,31,29,9,1
01/09/2004,30,15,3,0
01/10/2004,18,0,0,0
01/11/2004,0,0,0,0
01/12/2004,0,0,0,0
01/01/2005,0,0,0,0
01/02/2005,0,0,0,0
01/03/2005,9,0,0,0
01/04/2005,14,1,0,0
01/05/2005,23,6,1,1
01/06/2005,30,19,9,2
01/07/2005,31,24,8,1
01/08/2005,31,25,8,1
01/09/2005,30,19,4,0
01/10/2005,29,4,0,0
01/11/2005,4,0,0,0
01/12/2005,0,0,0,0
01/01/2006,0,0,0,0
01/02/2006,0,0,0,0
01/03/2006,2,0,0,0
01/04/2006,10,0,0,0
01/05/2006,27,6,1,0
01/06/2006,30,23,9,1
01/07/2006,31,31,21,9
01/08/2006,31,26,2,0
01/09/2006,30,26,6,0
01/10/2006,29,2,0,0
01/11/2006,3,0,0,0
01/12/2006,0,0,0,0
01/01/2007,0,0,0,0
01/02/2007,0,0,0,0
01/03/2007,6,0,0,0
01/04/2007,28,8,0,0
01/05/2007,25,7,1,0
01/06/2007,30,19,0,0
01/07/2007,31,22,0,0
01/08/2007,31,19,4,0
01/09/2007,27,15,0,0
01/10/2007,14,0,0,0
01/11/2007,3,0,0,0
01/12/2007,0,0,0,0
01/01/2008,0,0,0,0
01/02/2008,1,0,0,0
01/03/2008,0,0,0,0
01/04/2008,10,1,0,0
01/05/2008,25,17,3,0
01/06/2008,30,17,1,0
01/07/2008,31,22,10,0
01/08/2008,31,24,2,0
01/09/2008,30,4,0,0
01/10/2008,17,1,0,0
01/11/2008,0,0,0,0
01/12/2008,0,0,0,0
01/01/2009,0,0,0,0
01/02/2009,0,0,0,0
01/03/2009,3,0,0,0
01/04/2009,19,2,0,0
01/05/2009,29,7,0,0
01/06/2009,28,17,5,0
01/07/2009,31,26,4,0
01/08/2009,31,30,6,0
01/09/2009,30,13,1,0
01/10/2009,22,0,0,0
01/11/2009,3,0,0,0
01/12/2009,0,0,0,0
01/01/2010,0,0,0,0
01/02/2010,0,0,0,0
01/03/2010,2,0,0,0
01/04/2010,15,3,0,0
01/05/2010,20,6,2,0
01/06/2010,30,20,11,0
01/07/2010,31,31,10,1
01/08/2010,31,23,0,0
01/09/2010,27,12,0,0
01/10/2010,14,1,0,0
01/11/2010,3,0,0,0
01/12/2010,0,0,0,0
01/01/2011,0,0,0,0
01/02/2011,0,0,0,0
01/03/2011,7,0,0,0
01/04/2011,26,11,2,0
01/05/2011,30,8,0,0
01/06/2011,30,13,3,1
01/07/2011,31,20,1,0
01/08/2011,31,22,3,0
01/09/2011,30,16,4,0
01/10/2011,25,5,3,0
01/11/2011,7,0,0,0
01/12/2011,0,0,0,0
01/01/2012,0,0,0,0
01/02/2012,1,0,0,0
01/03/2012,13,2,0,0
01/04/2012,4,0,0,0
01/05/2012,20,9,4,0
01/06/2012,26,10,1,0
01/07/2012,31,15,4,0
01/08/2012,31,28,7,0
01/09/2012,30,11,4,0
01/10/2012,11,0,0,0
01/11/2012,1,0,0,0
01/12/2012,0,0,0,0
01/01/2013,0,0,0,0
01/02/2013,0,0,0,0
01/03/2013,1,0,0,0
01/04/2013,10,3,0,0
01/05/2013,19,3,0,0
01/06/2013,29,13,2,0
01/07/2013,31,30,20,4
01/08/2013,31,30,5,1
01/09/2013,27,7,4,0
01/10/2013,21,2,0,0
01/11/2013,2,0,0,0
01/12/2013,0,0,0,0
01/01/2014,0,0,0,0
01/02/2014,0,0,0,0
01/03/2014,12,0,0,0
01/04/2014,21,0,0,0
01/05/2014,25,6,1,0
01/06/2014,30,23,2,0
01/07/2014,31,29,19,1
01/08/2014,31,22,2,0
01/09/2014,30,21,1,0
01/10/2014,25,5,0,0
01/11/2014,2,0,0,0
01/12/2014,0,0,0,0
01/01/2015,1,0,0,0
01/02/2015,0,0,0,0
01/03/2015,1,0,0,0
01/04/2015,17,3,0,0
01/05/2015,25,1,0,0
01/06/2015,30,18,4,0
01/07/2015,31,26,7,1
01/08/2015,31,25,5,1
01/09/2015,29,3,0,0
01/10/2015,17,0,0,0
01/11/2015,12,0,0,0
01/12/2015,3,0,0,0
01/01/2016,0,0,0,0
01/02/2016,0,0,0,0
01/03/2016,0,0,0,0
01/04/2016,8,0,0,0
01/05/2016,27,9,1,0
01/06/2016,27,18,0,0
01/07/2016,31,27,6,1
01/08/2016,31,29,11,1
01/09/2016,30,19,5,1
01/10/2016,19,0,0,0
01/11/2016,1,0,0,0
01/12/2016,0,0,0,0
01/01/2017,0,0,0,0
01/02/2017,1,0,0,0
01/03/2017,11,1,0,0
01/04/2017,16,2,0,0
01/05/2017,26,13,3,0
01/06/2017,30,22,6,3
01/07/2017,31,27,9,1
01/08/2017,31,25,3,0
01/09/2017,30,8,0,0
01/10/2017,25,1,0,0
01/11/2017,2,0,0,0
01/12/2017,0,0,0,0
01/01/2018,0,0,0,0
01/02/2018,0,0,0,0
01/03/2018,0,0,0,0
01/04/2018,15,5,2,0
01/05/2018,28,16,5,0
01/06/2018,30,25,9,0
01/07/2018,31,31,23,7
01/08/2018,31,23,11,3
01/09/2018,28,17,1,0
01/10/2018,20,8,0,0
01/11/2018,2,0,0,0
01/12/2018,0,0,0,0
01/01/2019,0,0,0,0
01/02/2019,6,0,0,0
01/03/2019,3,0,0,0
01/04/2019,13,6,0,0
01/05/2019,26,8,0,0
01/06/2019,29,15,3,1
01/07/2019,31,28,13,3
01/08/2019,31,28,9,3
01/09/2019,30,18,1,0
01/10/2019,20,0,0,0
01/11/2019,1,0,0,0
01/12/2019,0,0,0,0
01/01/2020,0,0,0,0
01/02/2020,0,0,0,0
01/03/2020,2,0,0,0
01/04/2020,20,10,0,0
01/05/2020,27,17,5,0
01/06/2020,29,18,5,2
01/07/2020,31,27,7,1
01/08/2020,31,26,11,6
01/09/2020,27,17,3,0
01/10/2020,15,0,0,0
01/11/2020,7,0,0,0
01/12/2020,0,0,0,0
01/01/2021,0,0,0,0
01/02/2021,1,0,0,0
01/03/2021,3,2,0,0
01/04/2021,7,0,0,0
01/05/2021,15,5,0,0
01/06/2021,28,22,7,0
01/07/2021,31,28,7,3
01/08/2021,31,22,0,0
01/09/2021,30,19,4,0
01/10/2021,26,1,0,0
01/11/2021,2,0,0,0
01/12/2021,1,0,0,0
01/01/2022,1,0,0,0
01/02/2022,1,0,0,0
01/03/2022,10,0,0,0
01/04/2022,16,1,0,0
01/05/2022,2,0,0,0
